HTTrack3.48-21+htsswf+htsjava launched on Sat, 31 Oct 2015 15:42:17 at http://getbootstrap.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://getbootstrap.com/ -O1 "F:\My Website\Bootstrap" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

15:42:17	Warning: 	Cache: damaged cache, trying to repair
15:42:17	Warning: 	Cache: 0 bytes successfully recovered in 0 entries
15:42:17	Warning: 	Cache: error trying to open the cache
15:44:26	Warning: 	Retry after error -4 (No data (connection closed)) at link getbootstrap.com/cdn-cgi/l/email-protection (from getbootstrap.com/css/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/components (from getbootstrap.com/css/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/assets/js/customize.min.js (from getbootstrap.com/customize/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/css/bootstrap.css (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/css/bootstrap-responsive.css (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/css/docs.css (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/js/google-code-prettify/prettify.css (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-144-precomposed.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-114-precomposed.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-72-precomposed.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/ico/apple-touch-icon-57-precomposed.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/ico/favicon.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/index.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/getting-started.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/scaffolding.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/base-css.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/components.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/javascript.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/customize.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/bootstrap.zip (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/extend.html (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/bs-docs-twitter-github.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/bs-docs-responsive-illustrations.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/bs-docs-bootstrap-features.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/example-sites/soundready.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/example-sites/kippt.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/example-sites/gathercontent.png (from getbootstrap.com/2.3.2/)
15:44:26	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/img/example-sites/jshint.png (from getbootstrap.com/2.3.2/)
15:44:27	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/js/jquery.js (from getbootstrap.com/2.3.2/)
15:44:27	Warning: 	Retry after error -4 (Connect Error) at link getbootstrap.com/2.3.2/assets/js/bootstrap-transition.js (from getbootstrap.com/2.3.2/)
