date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:19:53	69/69	---M-Z	200	added ('OK')	text/plain	date:Wed,%2009%20Nov%202016%2010:19:51%20GMT	http://mdbootstrap.com/robots.txt		(from )
02:19:54	136046/136046	---M-Z	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2010:19:51%20GMT	http://mdbootstrap.com/css/colors/	d:/bootstrap%20color/mdbootstrap.com/css/colors/index.html	(from )
02:19:55	4685/4685	---M-Z	200	added ('OK')	text/css	date:Fri,%2019%20Aug%202016%2014:26:48%20GMT	http://mdbootstrap.com/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery.css?ver=2.7.5	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/wysija-newsletters/css/validationEngine.jquery206d.css	(from http://mdbootstrap.com/css/colors/)
02:19:56	879/879	---M-Z	200	added ('OK')	text/css	date:Wed,%2026%20Oct%202016%2006:56:44%20GMT	http://mdbootstrap.com/wp-content/themes/mdbootstrap4/css/ajax-auth-style.css?ver=4.6.1	d:/bootstrap%20color/mdbootstrap.com/wp-content/themes/mdbootstrap4/css/ajax-auth-style1c9b.css	(from http://mdbootstrap.com/css/colors/)
02:19:57	1270/1270	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2011:25:47%20GMT	http://mdbootstrap.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.5.1	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/contact-form-7/includes/css/styles8686.css	(from http://mdbootstrap.com/css/colors/)
02:19:57	3837/3837	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Sep%202016%2011:25:50%20GMT	http://mdbootstrap.com/wp-content/plugins/uk-cookie-consent/assets/css/style.css?ver=4.6.1	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/uk-cookie-consent/assets/css/style1c9b.css	(from http://mdbootstrap.com/css/colors/)
02:19:59	14668/14668	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2012:53:48%20GMT	http://mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=2.6.4	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout72e6.css	(from http://mdbootstrap.com/css/colors/)
02:19:59	6881/6881	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2012:53:48%20GMT	http://mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=2.6.4	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen72e6.css	(from http://mdbootstrap.com/css/colors/)
02:20:00	53873/53873	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2012:53:48%20GMT	http://mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=2.6.4	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/woocommerce/assets/css/woocommerce72e6.css	(from http://mdbootstrap.com/css/colors/)
02:20:03	268/268	---M-Z	200	added ('OK')	text/css	date:Mon,%2007%20Mar%202016%2014:29:42%20GMT	http://mdbootstrap.com/wp-content/plugins/wordpress-social-login/assets/css/style.css?ver=4.6.1	d:/bootstrap%20color/mdbootstrap.com/wp-content/plugins/wordpress-social-login/assets/css/style1c9b.css	(from http://mdbootstrap.com/css/colors/)
